drug_id,name,smiles,native_feature_index,lmdb_key,geometry_source,source_record_sha256
CUHVIMMYOGQXCV-NSHDSACASA-N,dexmedetomidine,Cc1cccc([C@H](C)c2cnc[nH]2)c1C,203929,000077,existing_independent_ETKDG,6a99e4d2939a3d90f810278deecb66913587206eb847c4eabf1fdddcdc6ceb4d
CUIHSIWYWATEQL-UHFFFAOYSA-N,pazopanib,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,198610,000078,existing_independent_ETKDG,9447504c8c86ae9896b129f2715a3f413ae15aaa5f14a023981fe37c53499add
CVWXJKQAOSCOAB-UHFFFAOYSA-N,quizartinib,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,24501,000079,existing_independent_ETKDG,99fbaff0cadf90026c4c71a1ac2b7a1d34d1905ea162c87dad4ffd61a6b577d4
CXOFVDLJLONNDW-UHFFFAOYSA-N,fosphenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,292516,000080,existing_independent_ETKDG,a33741e4e59a23fb2f31618e8a0a75bec36e4c7841ab28b01054eb4f508a1e4a
CXOXHMZGEKVPMT-UHFFFAOYSA-N,clobazam,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,95920,000081,existing_independent_ETKDG,3740dd0153c76ab43a0e5f546745c233eae0ff1ff7f20e5a2e5405a2bb47e0e9
CYHWMBVXXDIZNZ-KRWDZBQOSA-N,remimazolam,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,110674,000082,existing_independent_ETKDG,ab3e402adf3531c0de85e2ba4707631f960f0ceb9287a73766faf4a0fe56e742
CYOHGALHFOKKQC-UHFFFAOYSA-N,selumetinib,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,224947,000083,existing_independent_ETKDG,d177abad51fc0e6ec0a25b8c2d236c25655fe377e80bd210284bd8e69d22222f
CYQFCXCEBYINGO-IAGOWNOFSA-N,dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,56090,000084,existing_independent_ETKDG,686bdef3641d0135209342ba9ce4ae7d0a2c70f78e1bdb29a69a6329a21d3c0f
CZFFBEXEKNGXKS-UHFFFAOYSA-N,raltegravir,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,215817,000085,existing_independent_ETKDG,dfc57fccf2006262ea1adbcce2baa3f8af73f8d60f75bdc2c589fe76068cf8e5
CZGVOBIGEBDYTP-VSGBNLITSA-N,linerixibat,CCCC[C@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@@H](c2ccccc2)N1,58206,000086,existing_independent_ETKDG,473eaa597d5b2c69445f5eee9624d597c7f7b8d8a1d510db9b8fc5de2996993d
DBABZHXKTCFAPX-UHFFFAOYSA-N,probenecid,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,58926,000087,existing_independent_ETKDG,8338197368d4f78f19dbac7109e484ce4bd8f6e74628042f6a229a139bbc121b
DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,22632,000088,existing_independent_ETKDG,f010e97b12f1d22f84c8325c5951b638ef1fdfc88d91fcc465d28d64de72abf8
DBGIVFWFUFKIQN-UHFFFAOYSA-N,fenfluramine,CCNC(C)Cc1cccc(C(F)(F)F)c1,67193,000089,existing_independent_ETKDG,1337874eaba7e072c2775c3727bc1981aef98d88556717982d82b31923a16012
DCCSDBARQIPTGU-HSZRJFAPSA-N,fesoterodine,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1,29506,000090,existing_independent_ETKDG,575dc449265b9424bbb8e7bdf29f57a3b20056fb7614dff1ab7f5717d25087b4
DCOPUUMXTXDBNB-UHFFFAOYSA-N,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,283764,000091,existing_independent_ETKDG,5c9d3cdf88ad1adc2d0c257fddbc860d80179cead338fef1d0c7abd3750d9a18
